flying,purple,carrot,bean
invisible,flighty,tomato,cheese
shapeshifting,overgrown,squash,ham
vigorous,glitchy,sprouts,pie
stretchy,appetizing,cuke,yolk
iron,toasty,collards,jam
cunning,windy,kale,milk
tricksy,glittery,zucchini,yam
mindreading,shimmering,spinach,trout
mighty,fresh,radish,flan
super,healthy,turnip,sprig
fantastic,nutritious,parsnip,tonic
magical,sturdy,parsley,egg
speedy,quiescent,cilantro,brew
magnificent,energetic,basil,ice
flaming,diligent,chive,slice
fantastical,timeless,onion,stew
invincible,mythical,shallot,soy
bulletproof,obscure,plantain,chia
healing,blinky,yucca,flax
restorative,omniscient,coconut,tea
infinite,floating,taro,root
powerful,respectable,peanut,pea
incredible,presumptuous,garbanzo,jelly
telepathic,stretchy,garlic,pod
frugal,tasty,lettuce,beet
shiny,blissful,chard,bass
elegant,unfathomable,scallion,spread
golden,enigmatic,mustard,greens
mashed,symphonic,daikon,rind
splendiforous,quixotic,broccolini,blend
milled,robust,jicama,slaw
divine,joyous,pistachio,seed
juicy,succulent,burger,dance
chopped,diced,banana,heart
voracious,bubbling,walnut,filet
spicy,submerged,butternut,soup
fluffy,drizzled,orange,sliver
refreshing,delicate,thyme,puree
hearty,festive,potato,head
baked,herbaceous,tuber,loaf
sizzling,spinning,rosemary,leaf
delicious,shaved,peapod,pinch
ascendant,massaged,horseradish,peel
curly,sprightly,radish,essence
tender,luscious,polenta,nut
crumbly,virtuous,mint,snackadoodle
polite,seasoned,pumpkin,oat
totally,bonkers,guacamole,asparagus
erstwhile,banjo,poultry,ratatouille
incognito,sesame,lolli,mayo
saucy,vixen,mango,scone
steamy,lo mein,taco,spritz
sparkling,breezy,flounder,foxtrot
minty,tango,secret,momo
resplendant,roasted,quiche,bun
confident,slender,saffron,fruit
midnight,musical,gorgonzola,tort
thunderous,suspenseful,cotija,platter
